Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
00D9CB       1    No     0000307B-00003080        6
00D9DB       8    No     00003081-0000308D        D
00DA10       2    No     0000308E-00003094        7
00DA23       1    No     00003095-0000309A        6
00DA59       1    No     0000309B-000030A0        6
00DA60       1    No     000030A1-000030A6        6
00DA89       5    No     000030A7-000030B0        A
00DA94       1    No     000030B1-000030B6        6
00DAA9       4    No     000030B7-000030BF        9
00DAB9       1    No     000030C0-000030C5        6
00DAE7       2    No     000030C6-000030CC        7
00DB12       1    No     000030CD-000030D2        6
00DBA4       1    No     000030D3-000030D8        6
00DBDA       1    No     000030D9-000030DE        6
00DBEC       1    No     000030DF-000030E4        6
00DC5B       1    No     000030E5-000030EA        6
00DC70       1    No     000030EB-000030F0        6
00DC99       7    No     000030F1-000030FC        C
00DCAE       1    No     000030FD-00003102        6
00DD74       1    No     00003103-00003108        6
00DD81       1    No     00003109-0000310E        6
00DD92       2    No     0000310F-00003115        7
00DDA2       1    No     00003116-0000311B        6
00DDC4       2    No     0000311C-00003122        7
00DDDA       4    No     00003123-0000312B        9
00DDED       4    No     0000312C-00003134        9
00DDF8       1    No     00003135-0000313A        6
00DE5F       A    No     0000313B-00003149        F
00DE6F       4    No     0000314A-00003152        9
00DE81       2    No     00003153-00003159        7
00DE9B       1    No     0000315A-0000315F        6
00DEFA       4    No     00003160-00003168        9
00DF06       1    No     00003169-0000316E        6
00DF12       1    No     0000316F-00003174        6
00DF22       1    No     00003175-0000317A        6
00DF56       2    No     0000317B-00003181        7
00DF6B       2    No     00003182-00003188        7
00DF8A       1    No     00003189-0000318E        6
00DF9E       7    No     0000318F-0000319A        C
00DFF0       C    No     0000319B-000031AB       11
00E00A       1    No     000031AC-000031B1        6
00E011       1    No     000031B2-000031B7        6
00E018       1    No     000031B8-000031BD        6
00E020       1    No     000031BE-000031C3        6
00E041       1    No     000031C4-000031C9        6
00E04E       1    No     000031CA-000031CF        6
00E067       5    No     000031D0-000031D9        A
00E0D2       1    No     000031DA-000031DF        6
00E0DA       1    No     000031E0-000031E5        6
00E0E1       1    No     000031E6-000031EB        6
00E0E9       1    No     000031EC-000031F1        6
00E0FA       1    No     000031F2-000031F7        6
00E102       1    No     000031F8-000031FD        6
00E10B       1    No     000031FE-00003203        6
00E122       1    No     00003204-00003209        6
00E12A       4    No     0000320A-00003212        9
00E138       1    No     00003213-00003218        6
00E147       1    No     00003219-0000321E        6
00E15B       1    No     0000321F-00003224        6
00E163       2    No     00003225-0000322B        7
00E17A       1    No     0000322C-00003231        6
00E182       2    No     00003232-00003238        7
00E18E       2    No     00003239-0000323F        7
00E1B5       2    No     00003240-00003246        7
00E1BF       8    No     00003247-00003253        D
00E1CF       2    No     00003254-0000325A        7
00E1D7       1    No     0000325B-00003260        6
00E1E3       2    No     00003261-00003267        7
00E224       1    No     00003268-0000326D        6
00E22B       1    No     0000326E-00003273        6
00E235       4    No     00003274-0000327C        9
00E23F       8    No     0000327D-00003289        D
00E250       1    No     0000328A-0000328F        6
00E25D       4    No     00003290-00003298        9
00E287       4    No     00003299-000032A1        9
00E2AE       1    No     000032A2-000032A7        6
00E2BD       1    No     000032A8-000032AD        6
00E2C8      18    No     000032AE-000032CA       1D
00E2E6    1122    No     000032CB-000043F1     1127
00F40F     8A6    No     000043F2-00004C9C      8AB
011405       B    No     00004C9D-00004CAC       10
011416       A    No     00004CAD-00004CBB        F
01148C       3    No     00004CBC-00004CC3        8
011496       A    No     00004CC4-00004CD2        F
0114A6       8    No     00004CD3-00004CDF        D
0114B6       A    No     00004CE0-00004CEE        F
0114C8      78    No     00004CEF-00004D6B       7D
01154A       6    Yes    00004D6C-00004D73        8
011558       8    No     00004D74-00004D80        D
01156C       4    No     00004D81-00004D89        9
01157E      14    No     00004D8A-00004DA2       19
01159E       2    No     00004DA3-00004DA9        7
0115A6     102    No     00004DAA-00004EB0      107
0116AE      71    No     00004EB1-00004F26       76
011726      5A    No     00004F27-00004F85       5F
011790      14    No     00004F86-00004F9E       19
0117AC      D4    No     00004F9F-00005077       D9
011891      69    No     00005078-000050E5       6E
011900      14    No     000050E6-000050FE       19
011920      5C    No     000050FF-0000515F       61
0119A0      1C    No     00005160-00005180       21
011A50       6    No     00005181-0000518B        B
011A60       6    No     0000518C-00005196        B
011A70       8    No     00005197-000051A3        D
0128F0       1    No     000051A4-000051A9        6
0128F7       1    No     000051AA-000051AF        6
01291E       1    No     000051B0-000051B5        6
012942       1    No     000051B6-000051BB        6
01294E       1    No     000051BC-000051C1        6
01296F       2    No     000051C2-000051C8        7
01297B       A    No     000051C9-000051D7        F
0129C5       4    No     000051D8-000051E0        9
0129E6       D    No     000051E1-000051F2       12
012A22       1    No     000051F3-000051F8        6
012A2E       1    No     000051F9-000051FE        6
012A36       1    No     000051FF-00005204        6
012A5E       1    No     00005205-0000520A        6
012A66       4    No     0000520B-00005213        9
012A78       1    No     00005214-00005219        6
012A93       1    No     0000521A-0000521F        6
012B2E       5    No     00005220-00005229        A
012B66       1    No     0000522A-0000522F        6
012B7A       1    No     00005230-00005235        6
012BD3       6    No     00005236-00005240        B
012BF4       1    No     00005241-00005246        6
012C00       1    No     00005247-0000524C        6
012C3E       1    No     0000524D-00005252        6
012C4D       1    No     00005253-00005258        6
012C62       1    No     00005259-0000525E        6
012C6F       4    No     0000525F-00005267        9
012C81       1    No     00005268-0000526D        6
012C95       1    No     0000526E-00005273        6
012CC9       1    No     00005274-00005279        6
012CD9       1    No     0000527A-0000527F        6
012CE1       1    No     00005280-00005285        6
012CF4       1    No     00005286-0000528B        6
012D1E       1    No     0000528C-00005291        6
012D68       1    No     00005292-00005297        6
012D7A       1    No     00005298-0000529D        6
012E18       1    No     0000529E-000052A3        6
012E35       2    No     000052A4-000052AA        7
012E3F       4    No     000052AB-000052B3        9
012E5D       2    No     000052B4-000052BA        7
012ED2       6    No     000052BB-000052C5        B
013098      10    No     000052C6-000052DA       15
0130AE       1    No     000052DB-000052E0        6
0130CC       E    No     000052E1-000052F3       13
0130E0       1    No     000052F4-000052F9        6
013109       6    No     000052FA-00005304        B
013153       9    No     00005305-00005312        E
0131A5       7    No     00005313-0000531E        C
0131B6       1    No     0000531F-00005324        6
0131C8       1    No     00005325-0000532A        6
0131D2       1    No     0000532B-00005330        6
0131DF       1    No     00005331-00005336        6
0131F4       1    No     00005337-0000533C        6
0131FE       1    No     0000533D-00005342        6
01320B       4    No     00005343-0000534B        9
013220       4    No     0000534C-00005354        9
013236       1    No     00005355-0000535A        6
013240       1    No     0000535B-00005360        6
013257       2    No     00005361-00005367        7
013260       2    No     00005368-0000536E        7
